호출부호,선사,선명,총톤수,LOA
3E5221,RLS,HAOHAIJIYUN,18667,167
VRUY2,ZIM,ZIMMOUNTDENALI,152204,366
HP6643,MSC,MSCMIA,232618,216
OZDA2,MAE,MAERSKBROOKLYN,48788,294
VRVD3,ZIM,ZIMAMBER,74693,272
D5ZV9,MCC,HANSAHARBURG,18321,174
D5JH7,MAE,MAERSKSKARSTIND,93702,300
5LDM3,MAE,MAERSKCAMDEN,149944,366
3ECH9,MAE,MARCOSV,71892,293
5LHN2,SLS,ADAMASTOS,17785,299
9HA5478,MAE,FORTDESAIX,42609,269
P3VZ9,MSC,EUROPE,90645,200
OWLW2,MAE,MORTENMAERSK,194849,399
3ENB2,MSC,MSCMINA,228741,400
9V7010,MAE,MAERSKHUACHO,153744,353
A8SI8,ZIM,ROTTERDAM,114044,296
OWPU2,MAE,MARSEILLEMAERSK,214286,399
V7LC6,MAE,DELOSWAVE,28616,222
5LRL2,MSC,MSCCOTONOUVIII,75448,272
OWNL2,MAE,MONACOMAERSK,214286,399
V7EM7,ZIM,ZIMWILMINGTON,94784,300
3FTY3,MSC,MSCLUCIANA,131771,363
D5ZR4,MSC,MSCAMELIA,228786,400
D5KX9,MSC,MSCINGY,193489,400
BPLN6,MAE,RENJIAN17,42112,260
MMBS2,MAE,MAERSKCANYON,149944,366
D5JI7,SLS,SUEZCANAL,68687,285
9V2332,MAE,CHRISTASCHULTE,51872,255
5LQE9,MSC,MSCCHAEWON,21979,172
A8SI6,ZIM,ZIMANTWERP,114044,349
D5GZ4,MAE,CCNIANGOL,95138,300
OWPP2,MAE,MANILAMAERSK,214286,399
BQQR,MAE,RENJIAN25,42112,260
9V5601,MAE,MAERSKHANOI,153773,353
9V7754,MAE,MAERSKWALLIS,40165,260
9V8724,MAE,MAERSKELBANCO,127832,335
D5ZY3,MSC,MSCDILETTA,228786,400
OYCY2,MAE,GRETEMAERSK,98648,367
OWRS2,MAE,METTEMAERSK,194849,399
A8KY8,MAE,IRENESRAY,35573,223
9HA5181,MAE,VIRGO,41225,265
D5ZY5,MSC,MSCALLEGRA,228786,400
9V8495,MCC,WANHAI332,32120,210
5LAS4,SLS,STAR,36007,231
D5GZ3,MAE,CCNIARAUCO,95138,300
3FQA,MSC,MSCZOE,192784,396
OWGK2,MAE,MILANMAERSK,214286,399
9V2334,MAE,CARLSCHULTE,51872,255
3FXI,MSC,MSCFRANCESCA,131771,363
D5UC8,ZIM,ZIMTAMPA,74661,304
